nohup: ignoring input
2020-03-08 12:14:11 INFO: At 1-th epoch.
2020-03-08 12:16:24 DEBUG: g loss at batch 167: 11.714, batch size: 233, lr=0.001
2020-03-08 12:16:25 DEBUG: g loss at batch 168: 11.697, batch size: 233, lr=0.001
2020-03-08 12:16:25 DEBUG: g loss at batch 169: 11.698, batch size: 233, lr=0.001
2020-03-08 12:16:26 DEBUG: g loss at batch 170: 11.690, batch size: 233, lr=0.001
2020-03-08 12:16:27 DEBUG: g loss at batch 171: 11.685, batch size: 234, lr=0.001
2020-03-08 12:16:28 DEBUG: g loss at batch 172: 11.682, batch size: 234, lr=0.001
2020-03-08 12:16:28 DEBUG: g loss at batch 173: 11.679, batch size: 234, lr=0.001
2020-03-08 12:16:29 DEBUG: g loss at batch 174: 11.682, batch size: 233, lr=0.001
2020-03-08 12:16:29 DEBUG: g loss at batch 175: 11.683, batch size: 233, lr=0.001
2020-03-08 12:16:30 DEBUG: g loss at batch 176: 11.676, batch size: 233, lr=0.001
2020-03-08 12:16:31 DEBUG: g loss at batch 177: 11.673, batch size: 233, lr=0.001
2020-03-08 12:16:31 DEBUG: g loss at batch 178: 11.665, batch size: 233, lr=0.001
2020-03-08 12:16:32 DEBUG: g loss at batch 179: 11.652, batch size: 233, lr=0.001
2020-03-08 12:16:33 DEBUG: g loss at batch 180: 11.632, batch size: 233, lr=0.001
2020-03-08 12:16:33 DEBUG: g loss at batch 181: 11.617, batch size: 233, lr=0.001
2020-03-08 12:16:34 DEBUG: g loss at batch 182: 11.605, batch size: 233, lr=0.001
2020-03-08 12:16:35 DEBUG: g loss at batch 183: 11.594, batch size: 233, lr=0.001
2020-03-08 12:16:35 DEBUG: g loss at batch 184: 11.585, batch size: 233, lr=0.001
2020-03-08 12:16:36 DEBUG: g loss at batch 185: 11.579, batch size: 233, lr=0.001
2020-03-08 12:16:36 DEBUG: g loss at batch 186: 11.575, batch size: 233, lr=0.001
2020-03-08 12:16:37 DEBUG: g loss at batch 187: 11.568, batch size: 233, lr=0.001
2020-03-08 12:16:38 DEBUG: g loss at batch 188: 11.550, batch size: 233, lr=0.001
2020-03-08 12:16:38 DEBUG: g loss at batch 189: 11.548, batch size: 233, lr=0.001
2020-03-08 12:16:39 DEBUG: g loss at batch 190: 11.551, batch size: 233, lr=0.001
2020-03-08 12:16:40 DEBUG: g loss at batch 191: 11.548, batch size: 233, lr=0.001
2020-03-08 12:16:40 DEBUG: g loss at batch 192: 11.547, batch size: 233, lr=0.001
2020-03-08 12:16:41 DEBUG: g loss at batch 193: 11.541, batch size: 233, lr=0.001
2020-03-08 12:16:42 DEBUG: g loss at batch 194: 11.549, batch size: 233, lr=0.001
2020-03-08 12:16:42 DEBUG: g loss at batch 195: 11.547, batch size: 233, lr=0.001
2020-03-08 12:16:43 DEBUG: g loss at batch 196: 11.540, batch size: 233, lr=0.001
2020-03-08 12:16:44 DEBUG: g loss at batch 197: 11.533, batch size: 233, lr=0.001
2020-03-08 12:16:44 DEBUG: g loss at batch 198: 11.521, batch size: 233, lr=0.001
2020-03-08 12:16:45 DEBUG: g loss at batch 199: 11.517, batch size: 233, lr=0.001
2020-03-08 12:16:45 DEBUG: g loss at batch 200: 11.504, batch size: 233, lr=0.001
2020-03-08 12:16:46 DEBUG: g loss at batch 201: 11.499, batch size: 233, lr=0.001
2020-03-08 12:16:47 DEBUG: g loss at batch 202: 11.499, batch size: 233, lr=0.001
